	CC18	CC21	CC36	CC34	CC42	CC39	CC15	CC23	CC24	CC5	CC6	CC41	CC19	CC16	CC35	CC32	CC45	CC48	CC4	CC3	CC12	CC8	CC11	CC51	CC29	CC28	CC27	CC1	CC13	CC17	CC50	CC49	CC43	CC44	CC46	CC38	CC33	CC30	CC121	CC20	CC22	CC26	CC47	CC37	CC10	CC14	CC2	CC25	CC31	CC7	CC66	CC40
CC18	0.0	0.541046	0.418918	0.386291	0.392008	0.473762	0.512638	0.497397	0.537384	0.535972	0.568329	0.477663	0.31248	0.26716	0.352248	0.473031	0.429775	0.418679	0.360407	0.391214	0.20966	0.224407	0.301971	0.573906	0.428563	0.560756	0.650676	0.526051	0.122088	0.0734948	0.461996	0.446918	0.45636	0.440796	0.498944	0.404523	0.410742	0.453276	0.446564	0.487934	0.478639	0.51764	0.546795	0.427908	0.311661	0.149462	0.555662	0.598431	0.540905	0.508336	0.411852	0.467672
CC21	0.541046	0.0	0.163937	0.168144	0.310155	0.404611	0.12306	0.0757496	0.114165	0.119801	0.139883	0.377061	0.14956	0.192055	0.219007	0.350774	0.362119	0.345714	0.500096	0.502734	0.523045	0.493244	0.54461	0.477161	0.0906281	0.130328	0.255758	0.47451	0.507438	0.512902	0.411799	0.424782	0.339063	0.336636	0.424547	0.209561	0.231079	0.136936	0.112637	0.0697386	0.0733452	0.0889901	0.438421	0.199646	0.519921	0.533169	0.507645	0.171706	0.225653	0.0619553	0.193907	0.308611
CC36	0.418918	0.163937	0.0	0.0151559	0.0813787	0.157047	0.15335	0.142151	0.18553	0.210415	0.196173	0.0978067	0.0322245	0.08638	0.0249013	0.138514	0.115611	0.114492	0.383924	0.394679	0.412923	0.395082	0.444088	0.283109	0.0715626	0.13958	0.261836	0.398238	0.397168	0.374986	0.181472	0.191267	0.0820716	0.079679	0.149564	0.00585722	0.0406658	0.0942796	0.0225918	0.0853229	0.0864222	0.0959963	0.187682	-0.0617375	0.392806	0.418165	0.443395	0.192474	0.134467	0.0848837	-0.0045116	0.0558975
CC34	0.386291	0.168144	0.0151559	0.0	0.0801464	0.142233	0.17935	0.173058	0.190745	0.217293	0.19982	0.100834	0.0662812	0.107116	0.0396611	0.141826	0.104221	0.102541	0.36211	0.374592	0.388303	0.37077	0.411421	0.253163	0.0898969	0.148191	0.230647	0.375663	0.378435	0.360031	0.168122	0.172507	0.071441	0.0739477	0.140528	0.0148234	0.0493059	0.0961018	0.0408897	0.108773	0.113862	0.121606	0.172135	0.0112146	0.3666	0.393753	0.416794	0.210159	0.129118	0.0995596	0.0113057	0.0496411
CC42	0.392008	0.310155	0.0813787	0.0801464	0.0	0.0608797	0.316444	0.318084	0.334404	0.371129	0.36611	0.028689	0.154883	0.156662	0.0406074	0.110819	0.0229208	0.0415912	0.3751	0.394333	0.397356	0.387406	0.419512	0.184025	0.248696	0.32063	0.38328	0.41803	0.392038	0.363409	0.0715993	0.0635326	0.0144765	0.0204166	0.0378959	0.0481996	0.0744226	0.224653	0.169254	0.261143	0.272341	0.277238	0.0891667	0.0599421	0.381065	0.396758	0.449809	0.348458	0.241356	0.264172	0.0580665	0.0369563
CC39	0.473762	0.404611	0.157047	0.142233	0.0608797	0.0	0.405816	0.401079	0.417861	0.443166	0.447048	0.0673438	0.19811	0.209778	0.103434	0.184163	0.0633465	0.0878605	0.465269	0.490141	0.46952	0.460889	0.500401	0.265429	0.306395	0.404151	0.477687	0.504943	0.468584	0.454008	0.126428	0.0931555	0.0578245	0.0603182	0.0771498	0.106293	0.132454	0.28712	0.250015	0.344257	0.347822	0.366187	0.139926	0.140905	0.471103	0.481743	0.541128	0.44781	0.318048	0.351138	0.123528	0.120398
CC15	0.512638	0.12306	0.15335	0.17935	0.316444	0.405816	0.0	0.0660542	0.120421	0.137257	0.134331	0.3744	0.136027	0.172602	0.22435	0.354321	0.370988	0.350842	0.47319	0.473987	0.49571	0.470328	0.508343	0.459945	0.0737786	0.116679	0.268144	0.441087	0.484354	0.487671	0.404084	0.42622	0.34648	0.340566	0.419657	0.21563	0.251992	0.146507	0.112737	0.0637449	0.0657435	0.0949466	0.446381	0.202738	0.482536	0.507615	0.470908	0.165172	0.239924	0.0695025	0.199574	0.314838
CC23	0.497397	0.0757496	0.142151	0.173058	0.318084	0.401079	0.0660542	0.0	0.0715513	0.0925743	0.0809365	0.372101	0.128601	0.177072	0.221282	0.346873	0.369768	0.351827	0.462111	0.458657	0.480932	0.455599	0.502314	0.46437	0.0552437	0.0907689	0.212479	0.43096	0.469157	0.467718	0.409455	0.426408	0.341163	0.340781	0.419943	0.210353	0.23382	0.128805	0.0927577	0.0274099	0.024541	0.0553828	0.433989	0.190938	0.475403	0.488027	0.4596	0.114185	0.200924	0.0457177	0.18191	0.306132
CC24	0.537384	0.114165	0.18553	0.190745	0.334404	0.417861	0.120421	0.0715513	0.0	0.14004	0.14888	0.40139	0.154311	0.18568	0.231699	0.373865	0.384631	0.371141	0.499486	0.504086	0.514375	0.484961	0.536553	0.498285	0.0906257	0.145223	0.279178	0.469394	0.507605	0.516457	0.428877	0.435012	0.358351	0.358648	0.438431	0.230732	0.249187	0.159834	0.131254	0.0762432	0.0767119	0.123771	0.464675	0.221293	0.512322	0.532142	0.502982	0.183163	0.249761	0.104047	0.213898	0.33466
CC5	0.535972	0.119801	0.210415	0.217293	0.371129	0.443166	0.137257	0.0925743	0.14004	0.0	0.0882978	0.41995	0.210606	0.254097	0.283826	0.401437	0.417603	0.395992	0.517622	0.522624	0.525862	0.50384	0.546474	0.488145	0.0787146	0.0928845	0.242031	0.499607	0.512752	0.519642	0.442371	0.461801	0.395503	0.383701	0.463346	0.248293	0.285673	0.154531	0.129794	0.0610861	0.0580354	0.0874097	0.471858	0.256589	0.528351	0.529164	0.522442	0.1591	0.21346	0.0799891	0.231432	0.356651
