Sample,k,Longitude,Latitude,bio2,bio7,bio8,bio11,bio18,bio19,AWC,CEC,PH,toN,wind_flower,vapr,srad,srad_leaf
CCH00,k0,98.85,28.48333333,10.701000213623,25.6360015869141,12.4320001602173,-1.58400011062622,326,38,159,13,5.90000009536743,1.33000004291534,2.6973332564036068,0.6391666680574416,14429.25,15526.57142857143
CCQ1-1,k3,107.2885758,28.92299051,6.52499961853027,26.8999996185303,19.4500007629395,2.91466665267944,516,74,144,18,5.19999980926514,2.3199999332428,2.27999997138977,1.2777666648228965,12056.333333333334,14922.857142857143
CCQ1-2,k3,107.2885758,28.92299051,6.52499961853027,26.8999996185303,19.4500007629395,2.91466665267944,516,74,144,18,5.19999980926514,2.3199999332428,2.27999997138977,1.2777666648228965,12056.333333333334,14922.857142857143
CCQ1-3,k3,107.2885758,28.92299051,6.52499961853027,26.8999996185303,19.4500007629395,2.91466665267944,516,74,144,18,5.19999980926514,2.3199999332428,2.27999997138977,1.2777666648228965,12056.333333333334,14922.857142857143
CCQ1-4,k3,107.2885758,28.92299051,6.52499961853027,26.8999996185303,19.4500007629395,2.91466665267944,516,74,144,18,5.19999980926514,2.3199999332428,2.27999997138977,1.2777666648228965,12056.333333333334,14922.857142857143
CCQ2-1,k3,108.7289225,32.05269607,8.05799961090088,29.4440002441406,18.2553329467773,-0.33666667342186,470,51,159,13,5.90000009536743,1.33000004291534,2.59599995613098,1.0128666758537297,12897.25,15789.857142857143
CCQ2-2,k3,108.7289225,32.05269607,8.05799961090088,29.4440002441406,18.2553329467773,-0.33666667342186,470,51,159,13,5.90000009536743,1.33000004291534,2.59599995613098,1.0128666758537297,12897.25,15789.857142857143
CCQ3-1,k1,108.8156972,32.00807778,8.09433364868164,29.2560005187988,17.3713340759277,-1.10533332824707,479,54,159,13,5.90000009536743,1.33000004291534,2.730666637420653,0.971233320732912,12867.75,15753.857142857143
CCQ3-2,k3,108.8156972,32.00807778,8.09433364868164,29.2560005187988,17.3713340759277,-1.10533332824707,479,54,159,13,5.90000009536743,1.33000004291534,2.730666637420653,0.971233320732912,12867.75,15753.857142857143
CGS1-1,k1,105.8244809,33.23985745,7.63066673278809,28.2000007629395,18.9653339385986,1.23466670513153,364,18,159,13,5.90000009536743,1.33000004291534,1.9226667086283336,1.065566668907801,12894.083333333334,15585.142857142857
CGS1-2,k1,105.8244809,33.23985745,7.63066673278809,28.2000007629395,18.9653339385986,1.23466670513153,364,18,159,13,5.90000009536743,1.33000004291534,1.9226667086283336,1.065566668907801,12894.083333333334,15585.142857142857
CGS1-3,k1,105.8244809,33.23985745,7.63066673278809,28.2000007629395,18.9653339385986,1.23466670513153,364,18,159,13,5.90000009536743,1.33000004291534,1.9226667086283336,1.065566668907801,12894.083333333334,15585.142857142857
CGS1-4,k1,105.8244809,33.23985745,7.63066673278809,28.2000007629395,18.9653339385986,1.23466670513153,364,18,159,13,5.90000009536743,1.33000004291534,1.9226667086283336,1.065566668907801,12894.083333333334,15585.142857142857
CGS1-5,k1,105.8244809,33.23985745,7.63066673278809,28.2000007629395,18.9653339385986,1.23466670513153,364,18,159,13,5.90000009536743,1.33000004291534,1.9226667086283336,1.065566668907801,12894.083333333334,15585.142857142857
CGS1-6,k1,105.8250509,33.23509693,7.63066673278809,28.2000007629395,18.9653339385986,1.23466670513153,364,18,116,15,7.0,1.37000000476837,1.9226667086283336,1.065566668907801,12894.083333333334,15585.142857142857
CGS5-1,k1,104.3469355,32.90229275,9.14799976348877,29.6959991455078,14.6700000762939,-2.73266673088074,335,19,159,13,5.90000009536743,1.33000004291534,2.1719999313354497,0.8295666625102359,12517.0,15057.857142857143
CGS5-2,k1,104.3469355,32.90229275,9.14799976348877,29.6959991455078,14.6700000762939,-2.73266673088074,335,19,159,13,5.90000009536743,1.33000004291534,2.1719999313354497,0.8295666625102359,12517.0,15057.857142857143
