Sample,Longitude,Latitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,AWC,CEC,PH,TEB,toN,wind_flower,vapr,srad,srad_leaf
CZ29,102.7189764,25.39839994,12.8175001144409,10.7323331832886,46.8006858825684,443.2919921875,22.2919998168945,-0.639999985694885,22.931999206543,17.4759998321533,6.81933307647705,17.4759998321533,6.81933307647705,925,186,11,84.7953491210938,514,39,514,39,159,13,5.90000009536743,9,1.33000004291534,2.9826666514078766,1.183366691072782,14396.083333333334,15217.42857142857
CZ30,102.7189764,25.39839994,12.8175001144409,10.7323331832886,46.8006858825684,443.2919921875,22.2919998168945,-0.639999985694885,22.931999206543,17.4759998321533,6.81933307647705,17.4759998321533,6.81933307647705,925,186,11,84.7953491210938,514,39,514,39,159,13,5.90000009536743,9,1.33000004291534,2.9826666514078766,1.183366691072782,14396.083333333334,15217.42857142857
CZ31,102.7189764,25.39839994,12.8175001144409,10.7323331832886,46.8006858825684,443.2919921875,22.2919998168945,-0.639999985694885,22.931999206543,17.4759998321533,6.81933307647705,17.4759998321533,6.81933307647705,925,186,11,84.7953491210938,514,39,514,39,159,13,5.90000009536743,9,1.33000004291534,2.9826666514078766,1.183366691072782,14396.083333333334,15217.42857142857
HH5,102.7166667,25.4,12.8175001144409,10.7323331832886,46.8006858825684,443.2919921875,22.2919998168945,-0.639999985694885,22.931999206543,17.4759998321533,6.81933307647705,17.4759998321533,6.81933307647705,925,186,11,84.7953491210938,514,39,514,39,159,13,5.90000009536743,9,1.33000004291534,2.9826666514078766,1.183366691072782,14396.083333333334,15217.42857142857
HH51,102.7166667,25.4,12.8175001144409,10.7323331832886,46.8006858825684,443.2919921875,22.2919998168945,-0.639999985694885,22.931999206543,17.4759998321533,6.81933307647705,17.4759998321533,6.81933307647705,925,186,11,84.7953491210938,514,39,514,39,159,13,5.90000009536743,9,1.33000004291534,2.9826666514078766,1.183366691072782,14396.083333333334,15217.42857142857
HH52,102.7166667,25.4,12.8175001144409,10.7323331832886,46.8006858825684,443.2919921875,22.2919998168945,-0.639999985694885,22.931999206543,17.4759998321533,6.81933307647705,17.4759998321533,6.81933307647705,925,186,11,84.7953491210938,514,39,514,39,159,13,5.90000009536743,9,1.33000004291534,2.9826666514078766,1.183366691072782,14396.083333333334,15217.42857142857
HH53,102.7166667,25.4,12.8175001144409,10.7323331832886,46.8006858825684,443.2919921875,22.2919998168945,-0.639999985694885,22.931999206543,17.4759998321533,6.81933307647705,17.4759998321533,6.81933307647705,925,186,11,84.7953491210938,514,39,514,39,159,13,5.90000009536743,9,1.33000004291534,2.9826666514078766,1.183366691072782,14396.083333333334,15217.42857142857
CYN1-4,100.1340861,26.25771111,11.9685001373291,10.8990001678467,47.7356338500977,452.8681640625,21.3999996185303,-1.432000041008,22.8319988250732,17.0553321838379,6.5493335723877,17.0553321838379,6.01933336257935,844,141,13,62.9078063964844,389,57,389,62,159,13,5.90000009536743,9,1.33000004291534,2.5026666323343902,1.026733341316381,14765.416666666666,15204.285714285714
CYN1-3,100.1340861,26.25771111,11.9685001373291,10.8990001678467,47.7356338500977,452.8681640625,21.3999996185303,-1.432000041008,22.8319988250732,17.0553321838379,6.5493335723877,17.0553321838379,6.01933336257935,844,141,13,62.9078063964844,389,57,389,62,159,13,5.90000009536743,9,1.33000004291534,2.5026666323343902,1.026733341316381,14765.416666666666,15204.285714285714
CYN1-2,100.1340861,26.25771111,11.9685001373291,10.8990001678467,47.7356338500977,452.8681640625,21.3999996185303,-1.432000041008,22.8319988250732,17.0553321838379,6.5493335723877,17.0553321838379,6.01933336257935,844,141,13,62.9078063964844,389,57,389,62,159,13,5.90000009536743,9,1.33000004291534,2.5026666323343902,1.026733341316381,14765.416666666666,15204.285714285714
