sample,Longtitude,Latitude
CM59,103.57,31.49
CM57,103.57,31.49
CM56,103.57,31.49
CM55,103.57,31.49
CM54,103.57,31.49
CM65,103.81,32.73
CM64,103.81,32.73
CM63,103.81,32.73
CM62,103.81,32.73
CM60,103.81,32.73
CM39,104.51,34.66
CM38,104.51,34.66
CM24,104.51,34.66
CM23,104.51,34.66
CM22,104.51,34.66
CM8,103.97,35.84
CM32,103.97,35.84
CM31,103.97,35.84
CM30,103.97,35.84
CM11,103.97,35.84
CM10,103.97,35.84
CM29,111.2637333,37.20483333
CM28,111.2637333,37.20483333
CM27,111.2637333,37.20483333
CM26,111.2637333,37.20483333
CM25,111.2637333,37.20483333
CM53,128.2,41.42
CM52,128.2,41.42
CM51,128.2,41.42
CM6,117.76,41.94
CM5,117.76,41.94
CM4,117.76,41.94
CM34,117.76,41.94
CM33,117.76,41.94
CM50,126.42,41.95
CM49,126.42,41.95
CM48,126.42,41.95
CM47,126.42,41.95
CM46,126.42,41.95
CM45,126.42,41.95
CM21,118.9,42.31
CM20,118.9,42.31
CM19,118.9,42.31
CM18,118.9,42.31
CM17,118.9,42.31
CM16,127.2,45.43
CM15,127.2,45.43
CM14,127.2,45.43
CM13,127.2,45.43
CM12,127.2,45.43
CM44,128.88,46.95
CM43,128.88,46.95
CM42,128.88,46.95
CM41,128.88,46.95
CM40,128.88,46.95
CM37,127.53,50.24
CM36,127.53,50.24
CM35,127.53,50.24
CM3,127.53,50.24
CM2,127.53,50.24
CM1,127.53,50.24
