,CC1,CC10,CC11,CC12,CC121,CC13,CC14,CC15,CC16,CC17,CC18,CC19,CC2,CC20,CC21,CC22,CC23,CC24,CC25,CC26,CC27,CC28,CC29,CC3,CC30,CC31,CC32,CC33,CC34,CC35,CC36,CC37,CC38,CC39,CC4,CC40,CC41,CC42,CC43,CC44,CC45,CC46,CC47,CC48,CC49,CC5,CC50,CC51,CC6,CC66,CC7,CC8
CC1,0,289849.351321802,394003.024871252,498909.672485093,640491.320723403,392272.883671089,458355.438732641,319394.698089324,447252.142635471,433770.966129669,862592.194219729,616787.937652545,173.708071871141,556394.98013369,385348.785819696,385706.975849383,399177.946100556,403120.552098638,524494.950147107,498617.591331199,488860.852481837,482316.006922957,566128.688040885,132486.439492411,579107.349930928,631786.16006731,858787.797158318,822972.862348593,851491.436928331,849619.491324298,810309.243518606,752850.525673845,754701.028668084,1059051.6399908,132535.661555273,825030.802061019,1094676.31032765,883331.222285192,1040196.1582501,1040357.71026027,1085593.71252889,1162197.58212127,998031.061403674,1078491.48863795,1035460.5264714,349567.343789688,1036044.83403078,1036048.7538798,121767.083743222,561139.816492972,302435.127219753,451561.248967924
CC10,289849.351321802,0,130027.882948954,244221.34546094,420939.516360153,103602.854650045,171550.429445198,323185.729588576,157777.036985838,148753.279751174,602023.714952821,331545.347704638,289726.972562118,645160.492746399,243434.441209127,303906.934727844,291909.579226693,299786.260578236,545158.118890634,467708.621474356,285837.381172006,304259.071100297,307789.382469677,157363.69108466,376341.60244851,486103.73379103,571709.362122939,551565.244241388,574400.429223609,573206.35124808,545955.090531049,546008.233228759,552023.346656745,772066.924516528,157314.717703401,653744.641450903,806694.847169875,653223.205630944,761729.070205619,761899.422779007,803577.069929329,874870.806142815,737604.309438552,800644.828291056,785579.205131582,302075.382904138,786191.856968936,786195.96687139,266902.911368373,506246.512341571,474778.038752161,224712.014673785
CC11,394003.024871252,130027.882948954,0,114350.304452782,453806.050972734,72487.8099607775,88331.6281402195,448315.282247364,121522.551922427,144206.549275971,475862.979924189,228213.278366408,393912.112567657,771240.399175674,343974.476968352,415068.185187121,397273.427292949,405417.974941804,664034.743752911,579428.933111662,348008.125765126,378598.458050916,315402.332979033,266875.698364542,426209.488634793,558355.429136783,505494.065013022,519727.990093806,532091.344718696,532162.577152103,524514.364989759,578938.745752658,587504.783397595,702165.062446773,266846.395896161,703447.996758982,732746.793157784,662580.553150735,711645.770076839,711828.410173461,745852.548216329,802536.700199162,713831.676457256,750886.665911839,772017.423143392,420946.333753155,772642.134471347,772646.325214376,392110.792340193,610137.983572547,604201.800523557,103333.237292828
CC12,498909.672485093,244221.34546094,114350.304452782,0,502152.147043745,165554.19113445,123767.4962948,558455.339326025,178441.614436403,213019.023727954,364611.895740413,162895.333601608,498834.418671378,881204.780935805,441632.80426305,516985.397195313,496148.63080833,504266.663527892,768715.01414983,679617.403650781,423194.813580335,459608.236651899,355715.388638023,376384.582892867,488501.451888142,631463.903268455,461810.56656019,509497.85199978,511252.639259943,512544.946115674,523669.104553436,621798.483266316,632082.351721268,648311.734414167,376362.020948138,756029.6722969,674190.434622167,683305.272763893,677057.143706624,677247.014985159,703060.575261412,744336.831029565,703862.223393309,715673.069281243,769797.347168079,527371.094389622,770418.208204588,770422.373144884,505434.368861178,704564.433636894,718543.11002792,67400.1612878854
CC121,640491.320723403,420939.516360153,453806.050972734,502152.147043745,0,384081.416442798,384385.320771962,408729.685468754,334977.043188316,309702.35368981,695940.566905309,418201.561073397,640322.639199026,625998.082131936,263877.961679385,306385.793609985,277223.433832164,278715.51072475,475173.139353143,371784.288076998,151652.473745631,166516.840842284,146866.663232208,531655.73925983,68257.4072295462,179929.660471625,386787.65263553,260257.954340001,307402.732182713,302587.621055264,224917.696191359,126122.643639888,133856.382184391,544679.071394325,531586.314446809,253887.19044484,587552.603468076,242841.234515661,471284.550830489,471388.789031815,529934.364873457,639412.632082536,379957.927996459,503096.547431394,401924.060784293,351452.382319065,402469.852443073,402473.514530139,546095.031160634,345796.810959782,634307.09691656,541045.224373187
CC13,392272.883671089,103602.854650045,72487.8099607775,165554.19113445,384081.416442798,0,68447.3673135921,394938.630534914,63606.0958205581,75243.1822815452,506958.750731542,228293.201255183,392156.329565894,717007.340278985,277409.73419455,351652.852302415,331600.701090348,339743.235312342,603167.862654305,514866.888582226,275538.922105756,306616.53692122,249684.565881722,260024.202396076,354269.25731266,485927.642511735,475524.21476712,470910.089880275,488459.548465974,487886.357377518,471173.785675867,509783.298227509,517934.855762546,675301.693220724,259978.777269563,632155.433989039,708665.033042056,599262.583641356,672944.604563935,673121.161039727,711563.756633425,777503.321263978,662450.235113661,712133.076692983,716739.845300588,362034.173431599,717362.012666039,717366.186356242,368034.470133203,542371.566378115,568632.563092997,172919.954098567
CC14,458355.438732641,171550.429445198,88331.6281402195,123767.4962948,384385.320771962,68447.3673135921,0,454682.400104685,54729.7725731722,89948.5319356766,441843.801318909,160002.032488159,458244.406138815,774621.797920984,324518.019526482,402334.174319197,379243.859644076,387259.703307699,654998.744045729,562355.703608335,299435.639812942,336195.067329648,240212.353028239,326636.715387619,366283.467626767,507883.719369823,419735.219861789,431728.925335064,443766.29252152,443830.958646321,437577.253279215,506987.211743033,516522.349362803,617883.428281836,326594.22447014,637546.076177298,649712.932163382,581360.459582961,623877.54466698,624059.258456186,659077.518448262,719142.884529446,626127.284429953,663130.146793583,685395.180381406,417640.204306967,686020.204300451,686024.397139584,436455.688816266,583906.149124782,635307.266747705,156899.547240444
CC15,319394.698089324,323185.729588576,448315.282247364,558455.339326025,408729.685468754,394938.630534914,454682.400104685,0,410418.472863899,377339.716083468,894466.929400629,596802.038801673,319230.145465968,322952.326417456,163944.753549652,102362.728727654,132120.610063474,130049.542888298,229325.191076679,180395.538061491,277093.091561472,245725.20591389,405987.17550834,286531.372019771,340473.125817496,337104.788818271,737307.449189316,649523.461694901,690409.879601053,686751.187759586,622656.625851841,493072.15030572,490822.303803696,924349.977431219,286480.240249975,532351.033111128,965415.77662391,637575.815597001,870408.369347419,870533.833583444,925691.629978319,1025164.69691122,788687.543835024,904831.967933078,806754.44656763,57580.1859043423,807267.370346522,807270.811696814,197917.237232119,241747.836242934,226806.726932694,547442.973940612
CC16,447252.142635471,157777.036985838,121522.551922427,178441.614436403,334977.043188316,63606.0958205581,54729.7725731722,410418.472863899,0,36045.7201835677,484070.569975035,189285.273594986,447126.08991997,727580.002754044,273361.298743279,352240.681983771,327953.565698339,335879.480753135,604674.903903854,510415.162325882,244760.430753257,281503.837576542,194134.302434183,314837.637618089,313350.862227625,453562.384409537,414701.410541336,407391.433639352,424933.116884611,424325.210776067,408303.037543533,459139.324220463,468138.788596542,614910.921370674,314786.518040743,586943.017291884,649131.286099538,541216.31936945,609812.144341381,609987.762020939,649162.70938508,717519.213948077,599311.826240292,648971.352514189,654531.798760573,370280.857201361,655155.01196663,655159.192668231,411408.077460725,530294.866190107,600534.583053936,207020.385063619
CC17,433770.966129669,148753.279751174,144206.549275971,213019.023727954,309702.35368981,75243.1822815452,89948.5319356766,377339.716083468,36045.7201835677,0,517758.603560181,219934.280943266,433636.204236102,693000.70390328,237620.25190037,316764.322068667,292145.110645903,300046.001238779,569032.6749701,474441.487911996,210922.594553235,246592.58734901,174607.052123457,302305.633714209,283339.861315229,420679.702782326,425036.443721825,404462.713808508,425902.545420192,424816.517671039,401524.7040161,435100.9082649,443481.361490215,625352.35500558,302249.605957828,559474.770686424,660931.75196985,524442.595041021,612998.511059445,613169.204571636,654989.405388932,728451.211684055,593319.170764685,651936.953691406,645181.378903855,335839.272984818,645801.128434489,645805.2859215,389360.076856029,494327.056628902,572044.748030753,237049.472003439
