	CC18	CC21	CC36	CC34	CC42	CC39	CC15	CC23	CC24	CC5	CC6	CC41	CC19	CC16	CC35	CC32	CC45	CC48	CC4	CC3	CC12	CC8	CC11	CC51	CC29	CC28	CC27	CC1	CC13	CC17	CC50	CC49	CC43	CC44	CC46	CC38	CC33	CC30	CC121	CC20	CC22	CC26	CC47	CC37	CC10	CC14	CC2	CC25	CC31	CC7	CC66	CC40
CC18	0.0	0.424511	0.414031	0.381458	0.367453	0.440366	0.405027	0.384469	0.439024	0.39261	0.425963	0.431362	0.321005	0.279991	0.358632	0.459923	0.385221	0.377697	0.211003	0.227448	0.169704	0.158656	0.205525	0.511957	0.356779	0.461289	0.553177	0.298243	0.109565	0.0728164	0.396881	0.375377	0.428221	0.394159	0.424761	0.398663	0.417167	0.398368	0.39895	0.396219	0.379425	0.421448	0.461757	0.415565	0.207386	0.139378	0.312311	0.511203	0.500755	0.424469	0.39005	0.435661
CC21	0.424511	0.0	0.0664658	0.0705491	0.0838289	0.137024	0.0830983	0.0666052	0.0997518	0.0952722	0.0890929	0.105169	0.0600339	0.0892299	0.0657341	0.154486	0.0969438	0.10428	0.359811	0.367303	0.409761	0.412428	0.418341	0.25861	0.053926	0.101547	0.211628	0.262815	0.411955	0.402471	0.141263	0.123647	0.100047	0.0872167	0.103236	0.079245	0.0983671	0.104756	0.0607991	0.0487137	0.0477824	0.0724316	0.14567	0.0692972	0.37153	0.426566	0.285392	0.16084	0.153895	0.0548305	0.0655936	0.106672
CC36	0.414031	0.0664658	0.0	0.0176202	0.0166177	0.0737099	0.0587974	0.0428402	0.073891	0.0716348	0.0612122	0.0262004	0.0201566	0.0548697	0.00701833	0.0983115	0.0263279	0.0376376	0.338527	0.346868	0.396695	0.401294	0.409455	0.206267	0.0191198	0.0576099	0.196008	0.235519	0.399536	0.384395	0.0756794	0.0560779	0.0252026	0.0137456	0.0237745	0.0181809	0.0404109	0.0738034	0.0135267	0.0102772	0.0119641	0.0422132	0.0656762	-0.0442363	0.352937	0.417322	0.265906	0.130948	0.11231	0.013002	0.0026517	0.0333452
CC34	0.381458	0.0705491	0.0176202	0.0	0.0253705	0.0717766	0.0645985	0.0515173	0.0742992	0.0731161	0.065896	0.034426	0.0302079	0.0613451	0.0150005	0.09557	0.0312962	0.0432148	0.316757	0.324074	0.368767	0.373763	0.380604	0.188081	0.0285751	0.0634977	0.169637	0.229016	0.372625	0.356473	0.0768001	0.0603475	0.0301019	0.02203	0.0290069	0.0246399	0.0429613	0.0728435	0.0232311	0.0233476	0.0217629	0.0450292	0.0675141	0.0199914	0.328824	0.386505	0.251701	0.122684	0.102866	0.0267966	0.0117426	0.0370973
CC42	0.367453	0.0838289	0.0166177	0.0253705	0.0	0.0569121	0.0777046	0.0662298	0.0880879	0.0852514	0.0797552	0.0219138	0.0366644	0.0657686	0.0148597	0.0879977	0.0172579	0.0320338	0.308276	0.317065	0.355716	0.361342	0.367909	0.163737	0.0385315	0.0772685	0.178661	0.227477	0.359985	0.344171	0.0571558	0.0427826	0.0190923	0.0102527	0.0155183	0.0215746	0.0410879	0.0814945	0.0333362	0.0379507	0.0371832	0.0582515	0.0562517	0.0187232	0.319009	0.372521	0.248409	0.129283	0.104868	0.0395708	0.0116102	0.031371
CC39	0.440366	0.137024	0.0737099	0.0717766	0.0569121	0.0	0.128999	0.110891	0.142735	0.129718	0.132159	0.0758929	0.0790641	0.105088	0.060951	0.14735	0.0629579	0.0732515	0.378087	0.386756	0.422367	0.425074	0.433287	0.226796	0.0809345	0.140364	0.25391	0.287564	0.427095	0.419548	0.103733	0.0863464	0.0698131	0.0583012	0.0651694	0.0706004	0.0939391	0.126576	0.0825693	0.0859666	0.0829971	0.1128	0.111018	0.0731736	0.39135	0.441586	0.307196	0.199303	0.166853	0.0926336	0.0578901	0.0896368
CC15	0.405027	0.0830983	0.0587974	0.0645985	0.0777046	0.128999	0.0	0.0606795	0.0884696	0.0865961	0.0799703	0.0947716	0.0570593	0.0812936	0.0570015	0.143362	0.0898533	0.0961085	0.343143	0.350238	0.391055	0.394499	0.400764	0.238221	0.0469554	0.0885097	0.198518	0.252795	0.395559	0.383298	0.130157	0.115602	0.0932562	0.0800481	0.0949605	0.0745612	0.087425	0.0954028	0.0550883	0.0439463	0.0424902	0.0666088	0.137449	0.0619551	0.354475	0.409648	0.273065	0.148999	0.142888	0.0453585	0.0599279	0.0928186
CC23	0.384469	0.0666052	0.0428402	0.0515173	0.0662298	0.110891	0.0606795	0.0	0.054214	0.0732107	0.0654284	0.0787939	0.04385	0.0736054	0.046653	0.124714	0.0765643	0.0841099	0.325751	0.332478	0.372512	0.377464	0.384313	0.221584	0.0353773	0.070957	0.175028	0.235873	0.376034	0.362496	0.118165	0.103052	0.076104	0.0638135	0.0792319	0.0589292	0.0730666	0.0825496	0.0408376	0.0285293	0.026355	0.0485305	0.11643	0.0450649	0.337044	0.389221	0.256132	0.125161	0.12205	0.0291036	0.0459278	0.0793337
CC24	0.439024	0.0997518	0.073891	0.0742992	0.0880879	0.142735	0.0884696	0.054214	0.0	0.0971916	0.0957368	0.108805	0.0659994	0.0969566	0.0674447	0.160537	0.102133	0.107766	0.37413	0.380675	0.421386	0.424697	0.431053	0.260373	0.0555994	0.106488	0.219506	0.278716	0.425493	0.416692	0.143597	0.125757	0.106447	0.0913659	0.111138	0.0860363	0.102251	0.106823	0.0660364	0.0540477	0.0508797	0.0799728	0.150302	0.077289	0.387134	0.441699	0.298562	0.166643	0.159843	0.0629727	0.0714608	0.109904
CC5	0.39261	0.0952722	0.0716348	0.0731161	0.0852514	0.129718	0.0865961	0.0732107	0.0971916	0.0	0.0869368	0.100494	0.0695402	0.0992436	0.0677756	0.142053	0.0971841	0.103704	0.342729	0.34951	0.381443	0.38533	0.390594	0.230286	0.0543215	0.0923281	0.186785	0.261217	0.386265	0.375988	0.134721	0.120895	0.0995735	0.088384	0.10139	0.0798944	0.0953855	0.0992935	0.0628311	0.0532242	0.0501803	0.0697415	0.140683	0.0715597	0.352585	0.396455	0.276331	0.147709	0.14017	0.0558816	0.0699547	0.102359
CC6	0.425963	0.0890929	0.0612122	0.065896	0.0797552	0.132159	0.0799703	0.0654284	0.0957368	0.0869368	0.0	0.0995464	0.0645028	0.0968376	0.0642522	0.145044	0.0923163	0.100158	0.365469	0.372482	0.411588	0.416346	0.422586	0.246242	0.0468286	0.0926861	0.202764	0.273455	0.416102	0.405055	0.135158	0.118629	0.0952576	0.0811429	0.0984491	0.0738975	0.0916458	0.0974828	0.0556699	0.0421695	0.0385527	0.0655188	0.137201	0.062686	0.37749	0.430257	0.292723	0.150286	0.139308	0.0496087	0.062752	0.0995566
CC41	0.431362	0.105169	0.0262004	0.034426	0.0219138	0.0758929	0.0947716	0.0787939	0.108805	0.100494	0.0995464	0.0	0.0466808	0.0761532	0.0220328	0.113184	0.0265055	0.0415048	0.357963	0.366755	0.412515	0.416024	0.424325	0.204645	0.0514146	0.0989677	0.227137	0.262668	0.415522	0.404215	0.0721159	0.0524162	0.029867	0.0186554	0.0214874	0.0303579	0.0543759	0.100882	0.0446847	0.0477397	0.0500857	0.0768853	0.0677298	0.0309975	0.372454	0.433254	0.289446	0.1665	0.135989	0.0524442	0.0199836	0.0447819
CC19	0.321005	0.0600339	0.0201566	0.0302079	0.0366644	0.0790641	0.0570593	0.04385	0.0659994	0.0695402	0.0645028	0.0466808	0.0	0.0403946	0.0242499	0.096951	0.0457443	0.0568202	0.263463	0.270639	0.311495	0.316057	0.322393	0.187223	0.027871	0.0621813	0.156432	0.183558	0.313468	0.29947	0.0863735	0.0720005	0.0446755	0.035431	0.0455674	0.0343423	0.0521588	0.0727283	0.0287712	0.0234296	0.0213815	0.042913	0.0839576	0.0237843	0.275003	0.326424	0.203484	0.115225	0.10524	0.0235297	0.0228277	0.0489629
CC16	0.279991	0.0892299	0.0548697	0.0613451	0.0657686	0.105088	0.0812936	0.0736054	0.0969566	0.0992436	0.0968376	0.0761532	0.0403946	0.0	0.0524222	0.123052	0.0770994	0.085202	0.224302	0.232064	0.269533	0.272916	0.278485	0.207118	0.0603873	0.090385	0.183156	0.157086	0.27172	0.260333	0.112579	0.0973245	0.0775531	0.0680342	0.0752631	0.0674894	0.0806104	0.101003	0.0608157	0.0587933	0.0570094	0.0759459	0.113019	0.0573699	0.233789	0.285065	0.177471	0.144133	0.136754	0.0578097	0.0550717	0.0782314
CC35	0.358632	0.0657341	0.00701833	0.0150005	0.0148597	0.060951	0.0570015	0.046653	0.0674447	0.0677756	0.0642522	0.0220328	0.0242499	0.0524222	0.0	0.083348	0.0225823	0.0369525	0.298216	0.305547	0.347041	0.352111	0.359266	0.172938	0.0256123	0.0566548	0.161633	0.2128	0.351132	0.334836	0.0658669	0.0494615	0.0220062	0.0153478	0.0182083	0.0190298	0.0340851	0.068095	0.018894	0.0209797	0.0208545	0.0400094	0.0607759	0.00770973	0.30903	0.364376	0.234726	0.112078	0.0969413	0.0211073	0.00564493	0.0260712
CC32	0.459923	0.154486	0.0983115	0.09557	0.0879977	0.14735	0.143362	0.124714	0.160537	0.142053	0.145044	0.113184	0.096951	0.123052	0.083348	0.0	0.0977878	0.10591	0.398352	0.405357	0.440093	0.442217	0.449504	0.254434	0.098922	0.158745	0.273173	0.309197	0.444816	0.439505	0.134595	0.120821	0.109236	0.0923833	0.107642	0.0977546	0.119999	0.145163	0.101101	0.104438	0.0979322	0.128903	0.149311	0.100089	0.411417	0.459684	0.328095	0.216516	0.195428	0.113227	0.0883759	0.122071
CC45	0.385221	0.0969438	0.0263279	0.0312962	0.0172579	0.0629579	0.0898533	0.0765643	0.102133	0.0971841	0.0923163	0.0265055	0.0457443	0.0770994	0.0225823	0.0977878	0.0	0.035752	0.323432	0.332074	0.373884	0.378601	0.386446	0.178425	0.0475326	0.090022	0.196228	0.239118	0.377188	0.360887	0.0638347	0.0454616	0.0216296	0.0145735	0.0197376	0.0266315	0.0508214	0.0921406	0.0413971	0.0473374	0.0468061	0.0720277	0.0581129	0.0247287	0.336139	0.391156	0.262655	0.14418	0.117286	0.0495796	0.0175519	0.041838
CC48	0.377697	0.10428	0.0376376	0.0432148	0.0320338	0.0732515	0.0961085	0.0841099	0.107766	0.103704	0.100158	0.0415048	0.0568202	0.085202	0.0369525	0.10591	0.035752	0.0	0.322905	0.330692	0.366965	0.371675	0.378048	0.179273	0.0585513	0.0968164	0.194726	0.242299	0.371342	0.355667	0.0746979	0.059477	0.0370039	0.0290697	0.0333909	0.0403662	0.0619614	0.100732	0.0528172	0.0570469	0.0574469	0.0803654	0.0723126	0.0401078	0.332225	0.383115	0.262423	0.146391	0.120398	0.0608235	0.0318106	0.050664
CC4	0.211003	0.359811	0.338527	0.316757	0.308276	0.378087	0.343143	0.325751	0.37413	0.342729	0.365469	0.357963	0.263463	0.224302	0.298216	0.398352	0.323432	0.322905	0.0	-0.0190485	0.17369	0.169032	0.171783	0.465793	0.305101	0.39168	0.496255	0.209974	0.168135	0.20585	0.347204	0.326693	0.352905	0.326485	0.350396	0.330928	0.351232	0.347525	0.330691	0.327571	0.316915	0.35625	0.390197	0.341054	0.160768	0.207951	0.233748	0.448323	0.435576	0.348115	0.321428	0.360913
CC3	0.227448	0.367303	0.346868	0.324074	0.317065	0.386756	0.350238	0.332478	0.380675	0.34951	0.372482	0.366755	0.270639	0.232064	0.305547	0.405357	0.332074	0.330692	-0.0190485	0.0	0.189874	0.185312	0.190496	0.47244	0.312216	0.398791	0.501849	0.226448	0.187586	0.218778	0.354168	0.33558	0.361478	0.335083	0.359537	0.339278	0.358782	0.354839	0.337824	0.334541	0.324846	0.363093	0.398975	0.34946	0.177761	0.217184	0.249516	0.455108	0.443255	0.355212	0.328845	0.369863
