sample,group
CZ29,CC1
CZ30,CC1
CZ31,CC1
HH5,CC2
HH51,CC2
HH52,CC2
HH53,CC2
CYN1-4,CC3
CYN1-3,CC3
CYN1-2,CC3
CYN1-1,CC4
CYN1-5,CC4
CYN1-6,CC4
HHB01,CC5
HH20,CC5
HH21,CC5
HH7-1,CC5
CHN1-1,CC6
CHN1-2,CC6
CHN1-3,CC6
CHN1-4,CC6
CHN1-5,CC6
SRR26796371,CC7
SRR26796372,CC7
SRR26796373,CC7
CYN4-1,CC8
CYN4-2,CC8
CYN4-3,CC8
CYN4-4,CC8
CYN4-5,CC8
CYN4-6,CC8
HH30,CC10
HH31,CC10
HH32,CC10
CYN5-1,CC11
CYN5-2,CC11
CYN5-3,CC11
CYN5-4,CC11
CYN5-5,CC11
CYN5-6,CC11
CYN5-7,CC11
CYN2-1,CC12
CYN2-2,CC12
CYN2-3,CC12
CYN2-4,CC12
CYN2-5,CC12
HH45,CC13
HH1,CC13
HH4-3,CC13
CZ36,CC13
CZ37,CC13
HH75,CC14
HH76,CC14
HH46,CC14
HH47,CC14
HH48,CC14
CGZ1-5,CC15
CGZ1-1,CC15
CGZ1-2,CC15
CGZ1-3,CC15
CGZ1-4,CC15
CSC13-1,CC16
CSC13-2,CC16
CSC13-3,CC16
CSC13-4,CC16
CSC13-5,CC16
CSC13-6,CC16
CSC12-1,CC16
CSC12-2,CC16
CZ40,CC17
CZ41,CC17
CZ42,CC17
HH9-1,CC18
HH49,CC18
HH50,CC18
CCH00,CC18
CSC11-1,CC19
CSC11-2,CC19
CSC10-5,CC19
CSC10-3,CC19
CSC10-4,CC19
CSC10-1,CC19
CSC9-1,CC19
HH142,CC20
HH144,CC20
HH143,CC20
HH145,CC20
CCQ1-2,CC21
CCQ1-3,CC21
CCQ1-4,CC21
CCQ1-1,CC21
HH150,CC22
HH146,CC22
HH147,CC22
HH148,CC22
HH149,CC22
CGZ2-1,CC23
CGZ2-2,CC23
CGZ2-3,CC23
CGZ3-8,CC23
CGZ3-7,CC23
CGZ3-6,CC23
CGZ3-1,CC24
CGZ3-2,CC24
CGZ3-3,CC24
CGZ3-4,CC24
HH54,CC25
HH55,CC25
HH56,CC25
HH152,CC26
HH153,CC26
HH154,CC26
HH155,CC26
HY7,CC27
HY8,CC27
CZ28,CC27
HY6,CC28
CZ26,CC28
CZ27,CC28
HH15,CC29
HH16,CC29
HH17,CC29
HH18,CC29
CZ18,CC29
CZ19,CC29
HH58,CC29
HH59,CC29
HH93,CC30
HH95,CC30
HH96,CC30
HH97,CC30
SRR26815598,CC66
SRR26815600,CC66
SRR26815619,CC66
SRR26815620,CC66
CHB1-1,CC5
CHB1-2,CC5
CHB1-3,CC5
CHB1-4,CC5
CHB1-5,CC5
HH140,CC121
HH138,CC121
HH139,CC121
HH141,CC121
HH136,CC30
HH137,CC30
HH134,CC30
HH135,CC30
HH62,CC31
HH63,CC31
HH64,CC31
HH11,CC32
HH33,CC32
CSC5-1,CC32
CSC5-2,CC32
HH125,CC33
HH126,CC33
HH127,CC33
HH128,CC33
CCQ3-1,CC34
CCQ3-2,CC34
HH129,CC34
HH130,CC34
HH131,CC34
CSC4-6,CC35
CSC4-2,CC35
CSC4-1,CC35
CSC4-3,CC35
CSC4-5,CC35
CSC4-4,CC35
CCQ2-2,CC36
CCQ2-1,CC36
lu179,CC36
HH36,CC37
HH37,CC37
HH2,CC37
HH122,CC38
HH123,CC38
HH121,CC38
HH124,CC38
CGS5-1,CC39
CGS5-2,CC39
CGS5-3,CC39
HH67,CC39
SRR26815610,CC40
SRR26815621,CC40
SRR26815622,CC40
CSC1-4,CC41
CSC1-5,CC41
CSC1-1,CC41
CGS1-6,CC42
CGS1-5,CC42
CGS1-1,CC42
CGS1-2,CC42
CGS1-3,CC42
CGS1-4,CC42
HH120,CC43
HH114,CC43
HH115,CC43
HH116,CC44
HH117,CC44
HH118,CC44
HH119,CC44
CSX2-1,CC45
CSX3-1,CC45
CSX2-3,CC45
HH38,CC45
HH39,CC45
HH86,CC46
HH12-1,CC46
HH29,CC46
HH160,CC47
HH158,CC47
HH159,CC47
CSX5-1,CC48
CSX5-2,CC48
CSX5-3,CC48
CSX5-4,CC48
CSX5-5,CC48
CSX5-6,CC48
CSX5-7,CC48
HC5,CC49
HC3,CC49
HC2-1,CC49
HC2-2,CC49
HC01,CC49
HCL,CC49
HH110,CC49
HH111,CC49
HH112,CC49
HH113,CC49
HHC02,CC50
HHC03,CC50
HC,CC50
HH83,CC50
HH27,CC50
HH28,CC50
HY14,CC50
HY15,CC50
HH82,CC51
HH92,CC51
CZ08,CC51
HH90,CC51
HH91,CC51
HY16,CC51
