,CC1,CC10,CC11,CC12,CC121,CC13,CC14,CC15,CC16,CC17,CC18,CC19,CC2,CC20,CC21,CC22,CC23,CC24,CC25,CC26,CC27,CC28,CC29,CC3,CC30,CC31,CC32,CC33,CC34,CC35,CC36,CC37,CC38,CC39,CC4,CC40,CC41,CC42,CC43,CC44,CC45,CC46,CC47,CC48,CC49,CC5,CC50,CC51,CC6,CC66,CC7,CC8
CC1,0,3.97673674076405,4.30792697288921,5.56286760967834,7.44467194544904,5.91865716553187,4.82990475739219,10.53467063024,5.82581738631196,6.31438395527516,7.75100322167385,6.36690272441006,1.65046518089335e-15,9.88819893608965,8.46212425836773,8.43217678327606,7.69654771498395,8.63779991998939,8.96595945983597,9.7120739884166,9.45071767915052,8.48447140041415,8.16081024942017,3.72634815251607,7.55724043310814,9.64470265735049,8.76269405572023,7.40606788020224,7.48416597116583,8.26357089096493,7.25654518658975,6.97252934158595,6.96555817953702,8.82123487607218,3.72634815251607,7.39252922458552,9.02678395831723,7.18649810707443,8.15297224681386,8.15297224681386,8.52746729472766,10.7620566622797,8.25305300940529,8.94215719560113,8.70250370534281,8.55742829107512,9.47366432451894,9.47366432451894,9.78481757531388,11.3088376099956,8.15818597168804,5.18125268720015
CC10,3.97673674076405,0,1.31370681874581,2.38324139315553,7.03211041658792,4.59373819170403,3.28080245251716,10.5877893746842,5.21309404638202,5.4166894480289,4.99879858461392,5.79782582396323,3.97673674076405,10.4359726871654,8.42965328544638,8.63266731972769,7.70497513231485,8.65465298086134,9.51174339486549,10.1009649363619,9.46794672814885,8.55201871728906,7.8657382553425,2.36716405527978,7.31460163003998,9.84254959102208,6.92222791727486,6.1933566206532,6.19372269655305,6.77751076613442,6.05186406464343,6.01296772034874,6.02372701739509,6.43284797056688,2.36716405527978,6.39036660153834,6.53456062709196,6.00344923129252,6.23924284423201,6.23924284423201,6.54361440515018,8.56373629806401,6.67362572833887,7.03584302177284,7.00765757567156,8.78963032894523,7.94506196892287,7.94506196892287,10.1545085694035,12.054911407934,8.41270610133187,2.76202627753371
CC11,4.30792697288921,1.31370681874581,0,1.85664095433877,7.24755141547271,4.76830723669676,3.31162220881417,10.9664842036062,5.1949074526696,5.63405764524602,3.98743345477314,5.37289965432002,4.30792697288921,11.2163607952019,8.68892148396046,9.05576644735479,8.08513254363601,9.01032803206797,10.1892539467531,10.6412249894566,9.67939104334848,8.84894152325162,7.92671404595254,3.08999297669388,7.59239075784579,10.1771559128126,6.68004253636187,6.0103555894758,5.9149118766741,6.63842870326466,5.9597161488398,6.37838182550634,6.39624069113886,5.93948574076743,3.08999297669388,7.00039174083174,5.97575306581682,6.23097969702867,5.85595270058877,5.85595270058877,6.07353750782409,8.14006529176544,6.43090055597059,6.66651878950767,7.04387211482402,9.22038183832874,7.97702196074155,7.97702196074155,10.4672330086592,12.3676883965432,9.13685014271635,2.22591715231184
CC12,5.56286760967834,2.38324139315553,1.85664095433877,0,7.38263121793559,4.48851208208736,2.88286021558609,11.0775057164723,5.22364655912219,5.60922135830733,3.19713607167944,5.37243414015561,5.56286760967834,11.3333447176298,8.70123766885568,8.99945161448615,8.11963888352577,9.03716826103328,10.2764629515286,10.6627493083256,9.53058258277984,8.70668493633797,7.73826404397686,3.46832606457815,7.58303750068568,10.3959009346078,6.42044406583043,5.91723092037659,5.77813023323952,6.46237642094935,5.89047511843004,6.4656386326157,6.52506222056714,5.35716171938716,3.46832606457815,7.08243016151169,5.45017129559624,6.20569438656891,5.52994951666621,5.52994951666621,5.71862161840892,7.70203861921862,6.72067120869574,6.43218051485247,6.98654197987311,9.13382668170963,7.9264439585912,7.9264439585912,10.3214960354312,12.5443415939792,9.26817821734453,1.48472840609102
CC121,7.44467194544904,7.03211041658792,7.24755141547271,7.38263121793559,0,7.16512865466746,6.27718319262449,8.6749318894158,6.03536820739265,7.70055373022605,8.7803665322287,7.01964180535578,7.44467194544904,6.34837725436614,5.33000365331078,3.626936724776,3.84714427470288,5.45762548285028,5.10961501991563,5.96619120848802,5.17724458362139,3.17312551772621,2.69266116650931,7.43351582365594,1.57675643278983,3.92503207257146,8.56136439022016,2.86397525123613,3.28172168303996,7.62836254508952,2.76240291169433,2.54468986254882,2.4233040268752,7.5574054060295,7.43351582365594,4.51613558392483,7.96037991464239,5.59481447461248,5.31756059636909,5.31756059636909,5.77485884137865,9.43148239068216,5.11985299413778,6.45757122535227,6.42652722080636,4.06108069267478,7.43753972170386,7.43753972170386,5.92324561185154,7.21364698015312,4.80505418123989,7.20830895146509
CC13,5.91865716553187,4.59373819170403,4.76830723669676,4.48851208208736,7.16512865466746,0,2.74232911395455,8.90227216101206,5.88498440195917,6.98928204936401,6.35853243192079,5.35086723684229,5.91865716553187,9.99105504692445,6.32425284606503,8.16201939066249,7.43282449194825,7.93808375268279,9.1129409046122,9.13291943950872,8.362050778344,7.97043626536697,7.4482903582938,4.68803385964845,7.14685343772189,9.73405655135188,8.59774108757315,6.52050125222924,6.53847138567799,5.3227593785038,6.41330972946903,6.45312414543565,6.5133866940099,7.2150536564715,4.68803385964845,6.92812023200729,7.46610651808675,6.58444547073498,6.7726039125203,6.7726039125203,7.08764938980182,9.8253005922747,7.41145534822052,6.3754269097044,7.80687712506699,8.28770466319641,9.22360247848159,9.22360247848159,9.38462438873974,11.6000149918258,8.13970449328282,4.47084436335033
CC14,4.82990475739219,3.28080245251716,3.31162220881417,2.88286021558609,6.27718319262449,2.74232911395455,0,9.23095289445391,4.54016705819617,4.7289796100079,5.01534573797221,4.55201150378789,4.82990475739219,9.77896168626781,6.9484538880555,7.49137028522596,6.90473665831154,7.55020263731684,8.6178117080714,8.84236943051743,7.89454014281815,7.20149321358038,6.52485227289113,3.62355326222289,6.27663630318432,9.1946248517439,6.80888488190814,5.32633761680893,5.31719331394468,5.80865915285778,5.23771165432915,5.48451992492392,5.56656741066621,6.02044649563334,3.62355326222289,6.12932464754848,6.29554914843944,5.44433636555642,5.52729820112111,5.52729820112111,5.86473790455045,8.13665155671632,6.48713859475896,5.93790040015487,6.64136779569196,7.66367472400398,7.58861732443465,7.58861732443465,9.00707214176362,11.1783436653375,7.78087050404716,2.88977058429026
CC15,10.53467063024,10.5877893746842,10.9664842036062,11.0775057164723,8.6749318894158,8.90227216101206,9.23095289445391,0,9.21049318787551,9.82999383636497,12.6758760651276,9.44043941060348,10.53467063024,9.3800559671254,6.06472238917197,8.28993470208986,8.43532630183533,4.77475559634433,8.31754473979809,5.81782969574489,6.23653568810344,8.58306927227505,9.04682861422276,10.495063831588,8.23247748005008,10.1874819699732,10.341603478587,9.23150320992375,9.41053538376333,8.60824189417202,8.96927579386544,8.28969935654854,8.32574157271062,11.2567924872141,10.495063831588,8.53707886739303,11.7340726141699,8.73040338252251,10.3140390209812,10.3140390209812,10.7344735844096,11.8933309416024,9.82845612416022,9.14291238999325,9.62866341851355,8.55133025953015,9.93002676374087,9.93002676374087,10.3485212143608,10.6021431453131,7.01445275921942,10.9267543999308
CC16,5.82581738631196,5.21309404638202,5.1949074526696,5.22364655912219,6.03536820739265,5.88498440195917,4.54016705819617,9.21049318787551,0,6.23251659394853,6.71701709995087,2.5327403594469,5.82581738631196,8.95079061488772,6.37268092239357,6.71207783516388,5.48670586544388,6.73050869317975,7.72186496237812,8.5379321698885,7.77225092432194,6.63908208766642,6.21754029919653,6.0773149021443,5.61735090537563,9.59654485750502,5.67090761716896,4.69695345011197,4.66989525427008,4.68608568717502,4.43148611015569,4.65993578478525,4.83703357154186,4.86355566847627,6.0773149021443,5.44267554307749,5.46056432431985,3.76369470579535,5.32293945782341,5.32293945782341,5.75673293076228,7.75381970019307,6.90050755796591,6.62144614791841,6.44986091356175,7.25176866395201,7.45771082815961,7.45771082815961,9.06591930776841,11.8359135050118,7.12518557316976,5.57395476763817
CC17,6.31438395527516,5.4166894480289,5.63405764524602,5.60922135830733,7.70055373022605,6.98928204936401,4.7289796100079,9.82999383636497,6.23251659394853,0,7.03074267874715,7.02608807527813,6.31438395527516,10.9394793432722,9.61226216329359,8.82135283995306,8.92698528640851,8.60045063603063,9.51221886097096,9.51604419885074,8.98589082616428,8.62656455773095,8.19367383280654,5.92606171221894,7.77767794818663,10.2143054787556,5.27984355285495,7.05558709228142,7.1208435005982,8.48929189474756,6.93914998541127,6.8357909731209,6.89337768992236,7.43469084807796,5.92606171221894,7.07714852063152,7.61245986141794,6.46191221894357,7.13345898140036,7.13345898140036,7.41901201345586,6.75292574959282,7.28926738374981,7.57689359986507,6.5461024820551,9.05002659695122,5.82837212484098,5.82837212484098,10.8947502132542,12.2263487110264,8.80775913027136,5.89240323657177
