"x"	
"1"	"CM59"
"2"	"CM57"
"3"	"CM56"
"4"	"CM55"
"5"	"CM54"
"6"	"CM65"
"7"	"CM64"
"8"	"CM63"
"9"	"CM62"
"10"	"CM60"
"11"	"CM39"
"12"	"CM38"
"13"	"CM24"
"14"	"CM23"
"15"	"CM22"
"16"	"CM8"
"17"	"CM32"
"18"	"CM31"
"19"	"CM30"
"20"	"CM11"
"21"	"CM10"
"22"	"CM29"
"23"	"CM28"
"24"	"CM27"
"25"	"CM26"
"26"	"CM25"
"30"	"CM6"
"31"	"CM5"
"32"	"CM4"
"33"	"CM34"
"34"	"CM33"
"41"	"CM21"
"42"	"CM20"
"43"	"CM19"
"44"	"CM18"
"45"	"CM17"
"27"	"CM53"
"28"	"CM52"
"29"	"CM51"
"35"	"CM50"
"36"	"CM49"
"37"	"CM48"
"38"	"CM47"
"39"	"CM46"
"40"	"CM45"
"46"	"CM16"
"47"	"CM15"
"48"	"CM14"
"49"	"CM13"
"50"	"CM12"
"51"	"CM44"
"52"	"CM43"
"53"	"CM42"
"54"	"CM41"
"55"	"CM40"
"56"	"CM37"
"57"	"CM36"
"58"	"CM35"
"59"	"CM3"
"60"	"CM2"
"61"	"CM1"
